traffic_record_id,state,road_type,lane_count,speed_limit_kmph,has_signal,enforcement_level,blackspot_score,season,day_of_week,hour_of_day,lighting,weather,is_peak,vehicle_count_per_hr,avg_speed_kmph,peak,traffic_data_quality_flag,signal_status,green_duration_s,red_duration_s,yellow_duration_s,cycle_time_s,violations_count,signal_data_quality_flag,accident_occurred,month,day,week_of_year,is_weekend,is_night,speed_ratio,traffic_density,signal_efficiency
0,Telangana,urban,2,47,1,low,0.318,monsoon,1,0,Night,Rain,0,303.0,16.2,0,Unknown,Working,64.0,53.0,6.0,123.0,0.0,Unknown,0,7,1,27,0,1,0.3446808510638298,151.5,0.5203252032520326
1,Telangana,urban,2,47,1,low,0.318,monsoon,1,1,Night,Rain,0,317.0,18.3,0,Unknown,Working,53.0,114.0,4.0,171.0,0.0,Unknown,0,7,1,27,0,1,0.3893617021276596,158.5,0.30994152046783624
2,Telangana,urban,2,47,1,low,0.318,monsoon,1,2,Night,Clear,0,412.0,24.8,0,Unknown,Working,45.0,89.0,4.0,138.0,0.0,Unknown,0,7,1,27,0,1,0.5276595744680851,206.0,0.32608695652173914
3,Telangana,urban,2,47,1,low,0.318,monsoon,1,3,Night,Rain,0,333.0,7.6,0,Unknown,Working,77.0,109.0,9.0,195.0,0.0,Unknown,0,7,1,27,0,1,0.16170212765957445,166.5,0.39487179487179486
4,Telangana,urban,2,47,1,low,0.318,monsoon,1,4,Night,Clear,0,298.0,22.5,0,Unknown,Working,83.0,93.0,8.0,184.0,1.0,Unknown,0,7,1,27,0,1,0.4787234042553192,149.0,0.45108695652173914
5,Telangana,urban,2,47,1,low,0.318,monsoon,1,5,Dusk/Dawn,Clear,0,202.0,32.3,0,Unknown,Working,72.0,104.0,5.0,181.0,1.0,Unknown,0,7,1,27,0,1,0.6872340425531914,101.0,0.39779005524861877
6,Telangana,urban,2,47,1,low,0.318,monsoon,1,6,Day,Clear,0,858.0,10.3,0,Unknown,Working,58.0,67.0,6.0,131.0,2.0,Unknown,0,7,1,27,0,0,0.21914893617021278,429.0,0.44274809160305345
7,Telangana,urban,2,47,1,low,0.318,monsoon,1,7,Day,Rain,0,416.0,19.0,0,Unknown,Working,27.0,52.0,5.0,84.0,1.0,Unknown,0,7,1,27,0,0,0.40425531914893614,208.0,0.32142857142857145
8,Telangana,urban,2,47,1,low,0.318,monsoon,1,8,Day,Rain,1,440.0,18.0,1,Unknown,Working,44.0,101.0,5.0,150.0,1.0,Unknown,0,7,1,27,0,0,0.3829787234042553,220.0,0.29333333333333333
9,Telangana,urban,2,47,1,low,0.318,monsoon,1,9,Day,Clear,1,1078.0,16.2,1,Unknown,Working,28.0,70.0,3.0,101.0,0.0,Unknown,0,7,1,27,0,0,0.3446808510638298,539.0,0.27722772277227725
10,Telangana,urban,2,47,1,low,0.318,monsoon,1,10,Day,Rain,1,1164.0,23.6,1,Unknown,Working,37.0,38.0,6.0,81.0,2.0,Unknown,0,7,1,27,0,0,0.5021276595744681,582.0,0.4567901234567901
11,Telangana,urban,2,47,1,low,0.318,monsoon,1,11,Day,Clear,1,519.0,14.2,1,Unknown,Working,76.0,110.0,6.0,192.0,2.0,Unknown,0,7,1,27,0,0,0.3021276595744681,259.5,0.3958333333333333
12,Telangana,urban,2,47,1,low,0.318,monsoon,1,12,Day,Rain,0,213.0,18.5,0,Unknown,Working,27.0,43.0,4.0,74.0,1.0,Unknown,0,7,1,27,0,0,0.39361702127659576,106.5,0.36486486486486486
13,Telangana,urban,2,47,1,low,0.318,monsoon,1,13,Day,Clear,0,409.0,25.1,0,Unknown,Working,70.0,41.0,7.0,118.0,2.0,Unknown,0,7,1,27,0,0,0.5340425531914894,204.5,0.5932203389830508
14,Telangana,urban,2,47,1,low,0.318,monsoon,1,14,Day,Rain,0,306.0,18.3,0,Unknown,Working,79.0,98.0,4.0,181.0,1.0,Unknown,0,7,1,27,0,0,0.3893617021276596,153.0,0.43646408839779005
15,Telangana,urban,2,47,1,low,0.318,monsoon,1,15,Day,Rain,0,434.0,13.1,0,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,1,27,0,0,0.27872340425531916,217.0,0.4195804195804196
16,Telangana,urban,2,47,1,low,0.318,monsoon,1,16,Day,Thunderstorm,0,778.0,23.6,0,Unknown,Working,41.0,78.0,6.0,125.0,1.0,Unknown,1,7,1,27,0,0,0.5021276595744681,389.0,0.328
17,Telangana,urban,2,47,1,low,0.318,monsoon,1,17,Day,Clear,1,513.0,21.2,1,Unknown,Working,69.0,82.0,3.0,154.0,3.0,Unknown,0,7,1,27,0,0,0.451063829787234,256.5,0.44805194805194803
18,Telangana,urban,2,47,1,low,0.318,monsoon,1,18,Day,Clear,1,976.0,9.0,1,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,1,7,1,27,0,0,0.19148936170212766,488.0,0.4195804195804196
19,Telangana,urban,2,47,1,low,0.318,monsoon,1,19,Dusk/Dawn,Clear,1,822.0,15.5,1,Unknown,Working,60.0,120.0,6.0,186.0,4.0,Unknown,0,7,1,27,0,0,0.32978723404255317,411.0,0.3225806451612903
20,Telangana,urban,2,47,1,low,0.318,monsoon,1,20,Night,Thunderstorm,1,524.0,13.5,1,Unknown,Working,57.0,71.0,8.0,136.0,0.0,Unknown,0,7,1,27,0,1,0.2872340425531915,262.0,0.41911764705882354
21,Telangana,urban,2,47,1,low,0.318,monsoon,1,21,Night,Rain,1,898.0,11.7,1,Unknown,Working,56.0,84.0,8.0,148.0,0.0,Unknown,0,7,1,27,0,1,0.24893617021276596,449.0,0.3783783783783784
22,Telangana,urban,2,47,1,low,0.318,monsoon,1,22,Night,Clear,0,492.0,16.3,0,Unknown,Working,38.0,47.0,10.0,95.0,1.0,Unknown,0,7,1,27,0,1,0.3468085106382979,246.0,0.4
23,Telangana,urban,2,47,1,low,0.318,monsoon,1,23,Night,Rain,0,468.0,9.4,0,Unknown,Working,73.0,89.0,3.0,165.0,2.0,Unknown,0,7,1,27,0,1,0.2,234.0,0.44242424242424244
24,Telangana,urban,2,47,1,low,0.318,monsoon,2,0,Night,Rain,0,300.0,12.6,0,Unknown,Working,50.0,68.0,5.0,123.0,2.0,Unknown,0,7,2,27,0,1,0.2680851063829787,150.0,0.4065040650406504
25,Telangana,urban,2,47,1,low,0.318,monsoon,2,1,Night,Rain,0,742.0,5.0,0,Unknown,Working,43.0,91.0,4.0,138.0,1.0,Unknown,0,7,2,27,0,1,0.10638297872340426,371.0,0.3115942028985507
26,Telangana,urban,2,47,1,low,0.318,monsoon,2,2,Night,Rain,0,494.0,16.7,0,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,1,7,2,27,0,1,0.35531914893617017,247.0,0.4195804195804196
27,Telangana,urban,2,47,1,low,0.318,monsoon,2,3,Night,Clear,0,284.0,23.2,0,Unknown,Working,65.0,77.0,5.0,147.0,1.0,Unknown,0,7,2,27,0,1,0.49361702127659574,142.0,0.4421768707482993
28,Telangana,urban,2,47,1,low,0.318,monsoon,2,4,Night,Clear,0,614.0,14.7,0,Unknown,Working,67.0,110.0,10.0,187.0,0.0,Unknown,0,7,2,27,0,1,0.3127659574468085,307.0,0.3582887700534759
29,Telangana,urban,2,47,1,low,0.318,monsoon,2,5,Dusk/Dawn,Rain,0,1081.0,5.0,0,Unknown,Working,71.0,115.0,6.0,192.0,2.0,Unknown,0,7,2,27,0,1,0.10638297872340426,540.5,0.3697916666666667
30,Telangana,urban,2,47,1,low,0.318,monsoon,2,6,Day,Thunderstorm,0,631.0,23.6,0,Unknown,Working,42.0,66.0,5.0,113.0,1.0,Unknown,0,7,2,27,0,0,0.5021276595744681,315.5,0.37168141592920356
31,Telangana,urban,2,47,1,low,0.318,monsoon,2,7,Day,Rain,0,0.0,0.0,0,veh_dropout,Working,78.0,88.0,4.0,170.0,0.0,Unknown,0,7,2,27,0,0,0.0,0.0,0.4588235294117647
32,Telangana,urban,2,47,1,low,0.318,monsoon,2,8,Day,Clear,1,1259.0,5.0,1,Unknown,Working,36.0,40.0,7.0,83.0,0.0,Unknown,0,7,2,27,0,0,0.10638297872340426,629.5,0.43373493975903615
33,Telangana,urban,2,47,1,low,0.318,monsoon,2,9,Day,Clear,1,895.0,23.6,1,Unknown,Working,40.0,100.0,5.0,145.0,0.0,Unknown,0,7,2,27,0,0,0.5021276595744681,447.5,0.27586206896551724
34,Telangana,urban,2,47,1,low,0.318,monsoon,2,10,Day,Rain,1,1254.0,5.0,1,Unknown,Working,85.0,73.0,4.0,162.0,1.0,Unknown,0,7,2,27,0,0,0.10638297872340426,627.0,0.5246913580246914
35,Telangana,urban,2,47,1,low,0.318,monsoon,2,11,Day,Rain,1,1060.0,9.1,1,Unknown,Working,79.0,95.0,6.0,180.0,1.0,Unknown,0,7,2,27,0,0,0.19361702127659575,530.0,0.4388888888888889
36,Telangana,urban,2,47,1,low,0.318,monsoon,2,12,Day,Rain,0,464.0,18.7,0,Unknown,Working,79.0,100.0,3.0,182.0,2.0,Unknown,0,7,2,27,0,0,0.3978723404255319,232.0,0.4340659340659341
37,Telangana,urban,2,47,1,low,0.318,monsoon,2,13,Day,Rain,0,326.0,18.6,0,Unknown,Working,53.0,91.0,7.0,151.0,1.0,Unknown,0,7,2,27,0,0,0.39574468085106385,163.0,0.3509933774834437
38,Telangana,urban,2,47,1,low,0.318,monsoon,2,14,Day,Rain,0,577.0,14.4,0,Unknown,Off,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,2,27,0,0,0.30638297872340425,288.5,0.4195804195804196
39,Telangana,urban,2,47,1,low,0.318,monsoon,2,15,Day,Clear,0,404.0,16.1,0,Unknown,Working,27.0,110.0,3.0,140.0,1.0,Unknown,0,7,2,27,0,0,0.34255319148936175,202.0,0.19285714285714287
40,Telangana,urban,2,47,1,low,0.318,monsoon,2,16,Day,Clear,0,278.0,30.5,0,Unknown,Working,79.0,67.0,4.0,150.0,0.0,Unknown,0,7,2,27,0,0,0.648936170212766,139.0,0.5266666666666666
41,Telangana,urban,2,47,1,low,0.318,monsoon,2,17,Day,Rain,1,533.0,14.0,1,Unknown,Working,60.0,119.0,7.0,186.0,4.0,Unknown,0,7,2,27,0,0,0.2978723404255319,266.5,0.3225806451612903
42,Telangana,urban,2,47,1,low,0.318,monsoon,2,18,Day,Rain,1,961.0,5.0,1,Unknown,Working,60.0,105.0,4.0,169.0,0.0,Unknown,0,7,2,27,0,0,0.10638297872340426,480.5,0.35502958579881655
43,Telangana,urban,2,47,1,low,0.318,monsoon,2,19,Dusk/Dawn,Clear,1,1184.0,10.7,1,Unknown,Working,31.0,60.0,3.0,94.0,1.0,Unknown,0,7,2,27,0,0,0.2276595744680851,592.0,0.32978723404255317
44,Telangana,urban,2,47,1,low,0.318,monsoon,2,20,Night,Clear,1,1230.0,8.5,1,Unknown,Working,27.0,64.0,9.0,100.0,1.0,Unknown,0,7,2,27,0,1,0.18085106382978725,615.0,0.27
45,Telangana,urban,2,47,1,low,0.318,monsoon,2,21,Night,Rain,1,1733.0,23.6,1,Unknown,Working,37.0,108.0,5.0,150.0,1.0,Unknown,1,7,2,27,0,1,0.5021276595744681,866.5,0.24666666666666667
46,Telangana,urban,2,47,1,low,0.318,monsoon,2,22,Night,Clear,0,711.0,14.8,0,Unknown,Blinking,60.0,77.0,6.0,143.0,1.0,Unknown,0,7,2,27,0,1,0.3148936170212766,355.5,0.4195804195804196
47,Telangana,urban,2,47,1,low,0.318,monsoon,2,23,Night,Clear,0,771.0,5.0,0,Unknown,Working,72.0,39.0,3.0,114.0,0.0,Unknown,1,7,2,27,0,1,0.10638297872340426,385.5,0.631578947368421
48,Telangana,urban,2,47,1,low,0.318,monsoon,3,0,Night,Rain,0,196.0,15.4,0,Unknown,Working,77.0,63.0,10.0,150.0,2.0,Unknown,0,7,3,27,0,1,0.32765957446808514,98.0,0.5133333333333333
49,Telangana,urban,2,47,1,low,0.318,monsoon,3,1,Night,Rain,0,299.0,16.2,0,Unknown,Working,37.0,115.0,5.0,157.0,2.0,Unknown,0,7,3,27,0,1,0.3446808510638298,149.5,0.2356687898089172
50,Telangana,urban,2,47,1,low,0.318,monsoon,3,2,Night,Rain,0,264.0,22.0,0,Unknown,Working,71.0,75.0,7.0,153.0,2.0,Unknown,1,7,3,27,0,1,0.46808510638297873,132.0,0.46405228758169936
51,Telangana,urban,2,47,1,low,0.318,monsoon,3,3,Night,Clear,0,485.0,24.0,0,Unknown,Working,47.0,80.0,9.0,136.0,0.0,Unknown,0,7,3,27,0,1,0.5106382978723404,242.5,0.34558823529411764
52,Telangana,urban,2,47,1,low,0.318,monsoon,3,4,Night,Rain,0,408.0,7.1,0,Unknown,Working,46.0,100.0,3.0,149.0,1.0,Unknown,1,7,3,27,0,1,0.15106382978723404,204.0,0.3087248322147651
53,Telangana,urban,2,47,1,low,0.318,monsoon,3,5,Dusk/Dawn,Clear,0,543.0,13.6,0,Unknown,Working,26.0,46.0,3.0,75.0,3.0,Unknown,0,7,3,27,0,1,0.28936170212765955,271.5,0.3466666666666667
54,Telangana,urban,2,47,1,low,0.318,monsoon,3,6,Day,Clear,0,566.0,23.6,0,Unknown,Working,52.0,54.0,7.0,113.0,2.0,Unknown,1,7,3,27,0,0,0.5021276595744681,283.0,0.46017699115044247
55,Telangana,urban,2,47,1,low,0.318,monsoon,3,7,Day,Rain,0,191.0,24.2,0,Unknown,Working,83.0,50.0,7.0,140.0,0.0,Unknown,0,7,3,27,0,0,0.5148936170212766,95.5,0.5928571428571429
56,Telangana,urban,2,47,1,low,0.318,monsoon,3,8,Day,Rain,1,830.0,15.4,1,Unknown,Working,77.0,100.0,7.0,184.0,4.0,Unknown,0,7,3,27,0,0,0.32765957446808514,415.0,0.41847826086956524
57,Telangana,urban,2,47,1,low,0.318,monsoon,3,9,Day,Rain,1,1007.0,5.0,1,Unknown,Working,53.0,70.0,5.0,128.0,1.0,Unknown,0,7,3,27,0,0,0.10638297872340426,503.5,0.4140625
